	ALL_dist	ALL_eta	ALL_cp_x	chrm
0	475.3222591042839	0.5976057999544608	257.69166240305526	PS091226
1	240.23165902936273	0.6384742471260785	426.64823573102456	PS091226
2	-0.5	0.6440382056945431	393.24775052854875	PS091226
3	-234.77702187394746	0.6174733656968953	395.24960327450106	PS091226
4	-475.3222591042839	0.591233765312843	334.22935270608275	PS091226
5	855.4028290811294	0.6751294392826551	351.7808884425708	PS091226
6	614.8333107436519	0.6642910147104446	496.1845448659787	PS091226
7	367.6044069376753	0.6301708920050187	502.1348597389805	PS091226
8	127.01574705523721	0.6297468741799455	534.4830279723454	PS091226
9	-120.43255373859678	0.6581030643457988	502.73783200933275	PS091226
10	-361.0678606577993	0.4674503590050971	441.3587922799775	PS091226
11	-608.2047352660122	0.19216487064630572	268.3675699971358	PS091226
12	-855.4028290811294	0.11417118642934032	331.4894085966703	PS091226
13	735.4660087318788	0.14812483535522325	189.91908223098756	PS091226
14	494.04276130715647	0.5767554144959024	448.13366624848163	PS091226
15	239.64817963005686	0.5865484743085965	573.0158552841795	PS091226
16	5.024937810560445	0.6131205922156315	597.4171547507665	PS091226
17	-251.700715136052	0.4567371692837052	561.0534623880403	PS091226
18	-485.8582612244028	0.4731606801675232	559.9000365752461	PS091226
19	-735.4660087318788	0.38470747460606747	394.26017127873024	PS091226
20	633.2592281206804	0.640767042066167	425.3327112986922	PS091226
21	377.8720021382902	0.5903369341020317	566.9777459621691	PS091226
22	128.30140295413764	0.6110319767127563	615.5821891275286	PS091226
23	-127.70767400591086	0.6102425858878762	596.4979480127125	PS091226
24	-377.29729657128473	0.5087058081041245	563.2573297437598	PS091226
25	-633.2592281206804	0.45526492993792966	387.43135467007335	PS091226
26	869.1849630544698	0.09992632731226958	202.1717270375308	PS091226
27	613.3616388396001	0.6702351168894155	428.7862042465472	PS091226
28	369.9249923971074	0.47790540973280626	555.7850416273502	PS091226
29	120.31832778093286	0.606624470354625	625.1879769521868	PS091226
30	-127.07674846328104	0.6002859196373139	564.9947371904533	PS091226
31	-369.9249923971074	0.5288707305717131	577.36685799402	PS091226
32	-619.5534682333721	0.1638560113981865	424.58412960836347	PS091226
33	-869.1849630544698	0.029811276292715516	206.51634048664323	PS091226
34	975.9275075537117	0.16960798303258673	298.95098973456584	PS091226
35	726.3928000744501	0.15944628325613253	222.33988104891216	PS091226
36	491.25604321982644	0.5737481195581474	386.2379613832227	PS091226
37	239.22896981762054	0.5742298055224473	521.2431340028456	PS091226
38	5.522680508593631	0.5403263286300877	579.4113413571162	PS091226
39	-244.82749028652808	0.4625405536337436	543.7121947255932	PS091226
40	-497.4700996039862	0.5758169701039602	535.003124481259	PS091226
41	-732.3650046254259	0.48463378658363176	459.34927019904757	PS091226
42	-975.9275075537117	0.2518748080673958	290.1039753037302	PS091226
43	957.2738636356892	0.3077202606159303	321.96091640799364	PS091226
44	684.6387733688474	0.7756629993516054	681.6478325047365	PS091226
45	410.61691392342817	0.5200782715689471	655.3663596516756	PS091226
46	136.59520489387612	0.5196905264766263	600.6393802727263	PS091226
47	-136.59520489387612	0.538586603115208	614.8731336199562	PS091226
48	-410.06249523700654	0.41335963563854283	504.92169667213744	PS091226
49	-683.251966700426	0.47454512906066904	337.3055060096208	PS091226
50	-957.2738636356892	0.12574479208298572	203.69675112893867	PS091226
51	1029.6981353775484	0.49000255613850885	568.8112526630582	PS091226
52	780.1341230839733	0.5748723146259803	498.9415843499955	PS091226
53	522.1917751171499	0.5273324520126155	715.1345530055816	PS091226
54	263.4145971657607	0.6267514855362877	742.2179704162947	PS091226
55	5.5	0.5610219347362645	740.8214874768335	PS091226
56	-254.19136492021124	0.5854786800589858	704.5705061842322	PS091226
57	-512.968078928894	0.6055137474222736	496.1371573506774	PS091226
58	-770.9145542795259	0.3849291081634377	329.011124010848	PS091226
59	-1029.6981353775484	0.11640320878832933	230.72172747055413	PS091226
60	1145.2254144927103	0.43028273663748906	526.8026050361298	PS091226
61	889.0895624176453	0.48173222368342894	486.57276958242636	PS091226
62	636.1754867958997	0.5333774826141066	497.19253638444087	PS091226
63	378.7548679555155	0.66395134354968	742.7296734405309	PS091226
64	126.65405638983695	0.7297669068180552	762.4016563181815	PS091226
65	-135.83537830771482	0.70435403421629	730.4058707593294	PS091226
66	-383.3226447785207	0.6300744681301091	587.4210547213984	PS091226
67	-644.8870056064086	0.4625391582565125	466.3799894468975	PS091226
68	-897.7640280162711	0.3029774142114112	384.4615838923937	PS091226
69	-1145.2254144927103	0.024429370391705674	180.919597647993	PS091226
