	dist	eta	area	cpx	chrm
0	855.903762113475	0.37634743944574744	telomere	459.15432778377146	PS140331
1	640.4031933087155	-0.1933112668469643	telomere	669.5581912777752	PS140331
2	434.05558399817875	0.5336158453427824	telomere	662.5418613139625	PS140331
3	218.55720075074169	0.7423431727964378	telomere	652.8519725200324	PS140331
4	-5.5	0.7937885248058845	telomere	576.8250737552601	PS140331
5	-203.30334478310976	0.6276836133689411	telomere	550.7226742101896	PS140331
6	-418.82365023957277	0.41232630550566407	telomere	517.0246449632541	PS140331
7	-634.3455288720809	0.2432580375884359	telomere	357.0226774974193	PS140331
8	-855.903762113475	0.25398628042931815	telomere	315.05193211974836	PS140331
9	1065.039553256122	0.31254141486736153	telomere	415.34955971975967	PS140331
10	826.591344014683	0.05311720717362556	telomere	382.3459874650638	PS140331
11	589.6534999472148	0.30267120689789007	telomere	461.189718658188	PS140331
12	351.24813166762897	0.500998693634034	telomere	666.8073075962325	PS140331
13	-124.42367138129303	0.4316026079637477	telomere	642.749544509561	PS140331
14	-360.29189555137094	0.6638659454582485	telomere	491.119792487559	PS140331
15	-598.8073563342388	0.7213284839148679	telomere	630.8484566688662	PS140331
16	-835.6771206632379	0.3453156492076984	telomere	429.76283300604655	PS140331
17	-1065.039553256122	0.24531270232176516	telomere	217.13546627716698	PS140331
18	920.859652715874	0.314645382363267	telomere	487.92611343781834	PS140331
19	723.5347261880386	0.27308710049843943	telomere	469.53504883967526	PS140331
20	517.1639005189747	0.37835042003956654	telomere	538.9559318670377	PS140331
21	309.9685467914446	0.6186614061073827	telomere	667.3003882065179	PS140331
22	103.59777989899204	0.7395664860195688	telomere	716.9174300868598	PS140331
23	-102.77402395547233	0.78076853924369	telomere	765.33531421371	PS140331
24	-309.9685467914446	0.7642811446959825	telomere	725.8518754354183	PS140331
25	-516.3395200834427	0.5875609639626911	telomere	429.7641049290813	PS140331
26	-722.7105229619948	0.6698375819227929	telomere	594.4671826005101	PS140331
27	-920.859652715874	0.3306110936415242	telomere	374.8995780540462	PS140331
28	752.7343488907624	0.7637950284468953	telomere	484.9731540777169	PS140331
29	585.2349955359813	0.8758227877146182	telomere	492.5466363504028	PS140331
30	416.38563856117804	0.6122945336398415	telomere	207.99923120571145	PS140331
31	-421.8494992292867	0.8163002042985654	telomere	598.6166362060562	PS140331
32	-589.9330470485613	0.3983084877312322	telomere	547.6944663324513	PS140331
33	-752.7343488907624	0.37656550005935907	telomere	588.839115483272	PS140331
34	767.6628491727341	0.5276610897919072	telomere	564.6199542661059	PS140331
35	593.852043862779	0.7699736381923378	telomere	501.96023421237993	PS140331
36	424.9249933811849	0.5436089843955916	telomere	316.24837979623453	PS140331
37	-422.529584763008	0.8943813883511652	telomere	650.6217872319351	PS140331
38	-590.6024466593412	0.3931976085157033	telomere	587.041724261616	PS140331
39	-767.6628491727341	0.32675850561588604	telomere	535.4887618254259	PS140331
40	682.6144592667225	0.6951380311093096	telomere	559.288678682831	PS140331
41	537.9986059461493	0.8167710789952388	telomere	588.2536684308257	PS140331
42	384.7109304399863	0.5117035217907637	telomere	369.35722794462515	PS140331
43	231.3752363586043	0.5957705777748232	telomere	181.2350206964711	PS140331
44	-218.14330152447954	0.7728919536111863	telomere	238.54582916455445	PS140331
45	-378.04034176262195	0.8520964007772169	telomere	648.3459276830658	PS140331
46	-530.8224750328494	0.35282014692604813	telomere	559.214754663112	PS140331
47	-682.6144592667225	0.328562995239008	telomere	554.3500216942471	PS140331
0	831.6345351174397	0.47672112998441774	centromere	547.646781586303	PS140331
1	644.4571358903554	0.5384309194332936	centromere	308.82831417245006	PS140331
2	455.51728836565576	0.5241058788406574	centromere	153.27836729445835	PS140331
3	276.0036231646244	0.42114908333056933	centromere	169.7861074221339	PS140331
4	87.04596486914255	0.3830570920109535	centromere	163.10650728421626	PS140331
5	-93.43446901438462	0.5940469762965659	centromere	241.59390874810686	PS140331
6	-282.1577572919093	0.5257090445244914	centromere	183.17626929408493	PS140331
7	-461.75426365113293	0.854941572349551	centromere	559.86004471112	PS140331
8	-650.6366113277057	0.016886234329036798	centromere	481.5631920242606	PS140331
9	-831.6345351174397	0.31538037436043953	centromere	443.0411105217015	PS140331
10	899.8017837279497	0.49528229365166954	centromere	503.8116589825418	PS140331
11	689.0865330276017	0.5782997111876911	centromere	251.16185177622208	PS140331
12	-102.25091686630492	0.3877975400877892	centromere	169.3237626218579	PS140331
13	-305.3395650746886	0.5148464644953357	centromere	150.86543812298964	PS140331
14	-501.10502891110565	0.5915774832189432	centromere	509.08498316396305	PS140331
15	-696.2328992513927	0.29908292588970253	centromere	469.4046681742302	PS140331
16	-899.8017837279497	0.23874386530274716	centromere	378.64372787361754	PS140331
17	872.9233929732895	0.7158112617262343	centromere	491.2335515109626	PS140331
18	677.0548352977032	0.6945516992630889	centromere	265.2696720707821	PS140331
19	481.18629448478686	0.7296118804597813	centromere	251.08283692912505	PS140331
20	286.0249115024773	0.607137054249302	centromere	241.93748235687553	PS140331
21	90.15680784056188	0.4290773461993175	centromere	211.9031606260346	PS140331
22	-300.87414312300086	0.5190468758465024	centromere	156.77261291895798	PS140331
23	-496.74263960324566	0.6819692364786749	centromere	447.242838728929	PS140331
24	-692.6111824104488	0.37797594631796705	centromere	528.8429084898382	PS140331
25	-872.9233929732895	0.29126404294838915	centromere	400.43940990760404	PS140331
0	941.5658500604193	0.3556150785565635	arms	495.75436436208054	PS140331
1	730.4274433508095	0.35306066041064144	arms	458.7065034990836	PS140331
2	526.6604693728209	0.625206873867067	arms	650.3070445852095	PS140331
