	dist	eta	area	cpx	chrm
0	490.9391510156834	0.34037758862809386	telomere	235.0124495723602	PS141253
1	327.8128276928772	0.7736635607852129	telomere	327.639639519944	PS141253
2	158.7080653275063	0.23600663832353064	telomere	190.62663550200875	PS141253
3	-6.020797289396148	0.6322229321274588	telomere	367.1929253116176	PS141253
4	-158.1020240224647	0.6195712088446295	telomere	213.77115708569352	PS141253
5	-321.30398379105105	0.724362099497015	telomere	289.8756626972763	PS141253
6	-490.9391510156834	0.8534033995454609	telomere	472.11469696299855	PS141253
7	732.1128669815878	0.16985874364752762	telomere	277.68104177479165	PS141253
8	543.2082933829342	0.5573760234007086	telomere	306.9939495130408	PS141253
9	353.48444095886316	0.6848756209313247	telomere	269.134036348123	PS141253
10	180.9813526305956	0.5243847096705209	telomere	222.04425427694423	PS141253
11	-8.139410298049853	0.5909382706194555	telomere	195.81066146137402	PS141253
12	-180.9813526305956	0.6062139704777292	telomere	176.22928466093367	PS141253
13	-370.71586154358164	0.5919891438345666	telomere	184.53282278376628	PS141253
14	-542.3810929595537	0.8247812011598766	telomere	399.8945210799137	PS141253
15	-732.1128669815878	0.17604461226256718	telomere	359.61487687427655	PS141253
16	676.2257389363407	0.10761019885636658	telomere	255.13616883833254	PS141253
17	470.6030705382191	0.7172784365675738	telomere	291.14304468690204	PS141253
18	291.201390793382	0.6554593241488587	telomere	221.97908425807213	PS141253
19	-291.201390793382	0.5985514982189464	telomere	184.70514025710997	PS141253
20	-480.2824689700843	0.5525040339234131	telomere	194.33884287288413	PS141253
21	-676.2257389363407	0.8218689048072395	telomere	389.36232824028787	PS141253
22	798.7314943083188	0.3216084515794937	telomere	307.6144429429519	PS141253
23	618.3623533172116	0.7702569449089548	telomere	664.3369494374754	PS141253
24	439.0136672132201	0.6250010211573278	telomere	158.43117388929033	PS141253
25	-90.19977827023745	0.7253939040763498	telomere	332.0065907218934	PS141253
26	-270.5993348107123	0.8418367996451932	telomere	543.037018062442	PS141253
27	-450.0011111097394	0.3784217160158193	telomere	530.4099752621216	PS141253
28	-630.4006662433028	0.306370152234663	telomere	368.62470217133375	PS141253
29	-798.7314943083188	0.15508008762218306	telomere	354.8874761873882	PS141253
30	790.5694150420949	-0.7148688842346878	telomere	332.16179075371736	PS141253
31	623.7218931543129	0.6591263853463261	telomere	574.3207324457626	PS141253
32	443.36553767743385	0.5785089571027611	telomere	186.1785732379642	PS141253
33	275.0654467576762	0.4942101853726707	telomere	157.6364259668785	PS141253
34	96.18731725128839	0.5176987118174889	telomere	231.6516307242391	PS141253
35	-84.2140130857092	0.7131257791660657	telomere	487.13220015972684	PS141253
36	-252.07141845120006	0.6657875409202411	telomere	527.727146192821	PS141253
37	-431.3757063164313	0.2636454658196594	telomere	428.7731710480426	PS141253
38	-611.7360541933098	0.27940423146837234	telomere	344.1495916579248	PS141253
39	-790.5694150420949	0.17425244945520324	telomere	318.4398160622603	PS141253
40	755.1412119597235	0.45144823558870784	telomere	456.27043679214614	PS141253
41	587.7918424068166	0.7961600853881529	telomere	546.9696438510764	PS141253
42	419.4082140349662	0.6846661167443793	telomere	236.75223934018027	PS141253
43	251.08414924084715	0.569393618990641	telomere	319.5007445593528	PS141253
44	84.25111275229544	0.8693673552483941	telomere	653.9541331854892	PS141253
45	-84.17986695166488	0.7245894242775412	telomere	520.5004349552502	PS141253
46	-251.06025173252735	0.2371329276948292	telomere	383.9284039890996	PS141253
47	-419.36529422449826	0.287248936029897	telomere	393.4287131297924	PS141253
48	-587.7408017144973	0.31182819511269255	telomere	361.77137283051286	PS141253
49	-755.1412119597235	0.020739189022721205	telomere	186.89570933265986	PS141253
0	-587.0521697430306	0.06752154715165182	centromere	176.42400718878764	PS141253
1	-436.3258530043802	0.8574091044802749	centromere	592.3800260817704	PS141253
2	-299.5200327190153	0.7736904468650376	centromere	383.6727813215573	PS141253
3	-147.94678097207793	0.838515685575716	centromere	441.5754116973509	PS141253
4	-0.5	0.7883448253225824	centromere	449.5750698501307	PS141253
5	151.31506864816868	0.2680911086482327	centromere	347.7275542498015	PS141253
6	288.0212665759249	0.4231734067561903	centromere	258.2054164838431	PS141253
7	439.7775005613634	0.06952863744581783	centromere	277.30018893767715	PS141253
8	587.0521697430306	0.07134898981130644	centromere	262.31162998761204	PS141253
9	-700.7014342785378	0.1309217347283418	centromere	337.2118964647967	PS141253
10	-552.502036195343	0.14749718740826467	centromere	279.37136515717145	PS141253
11	-400.73245438821147	0.7325912771609309	centromere	324.3239440179948	PS141253
12	-238.47117226197383	0.5870644030329113	centromere	170.73329598331907	PS141253
13	-86.7438758645243	0.6568529116664018	centromere	257.32922999084076	PS141253
14	73.56969484781081	0.7103871196608527	centromere	321.2011748759593	PS141253
15	223.83140977083622	0.6959145777365026	centromere	313.30340716170497	PS141253
16	387.02002532168797	0.6970090928746896	centromere	314.26611575284755	PS141253
17	538.7323082942029	0.20377649062881797	centromere	342.5439780308669	PS141253
18	700.7014342785378	0.14343811546287566	centromere	379.81829069240723	PS141253
19	-709.9947182902138	0.01921389234106896	centromere	224.09103311424337	PS141253
20	-542.9663893833576	0.7921188061845115	centromere	567.0551850934344	PS141253
21	-391.178348071567	0.6185316640503223	centromere	191.56750317954493	PS141253
22	-77.34662242140894	0.6522072728417523	centromere	205.69462342058137	PS141253
23	89.8359616189419	0.5768298191200701	centromere	160.87144875796616	PS141253
24	240.66262692823744	0.5796973936808354	centromere	162.67191086726734	PS141253
25	403.5127011631728	0.7693843869619079	centromere	424.1046493576006	PS141253
