	dist	YM	R2	YM_area	area	cpx	chrm
0	490.9391510156834	33.029246783914374	-12.63875070480322	0.167678935309788	telomere	235.0124495723602	PS141253
1	327.8128276928772	385.18506310906037	0.8673483331355336	0.35646264966050095	telomere	327.639639519944	PS141253
2	158.7080653275063	483.7085220499011	0.866682049803982	0.5733187458129057	telomere	190.62663550200875	PS141253
3	-6.020797289396148	19.12838183272598	-5.1237944672055145	0.1412185809743745	telomere	367.1929253116176	PS141253
4	-158.1020240224647	274.5799697886943	0.9831220033690653	0.5659867258017264	telomere	213.77115708569352	PS141253
5	-321.30398379105105	164.638748549331	0.8118526082459505	0.3262465205569873	telomere	289.8756626972763	PS141253
6	-490.9391510156834	173.18671765388385	0.9611507588676048	0.18013038681984603	telomere	472.11469696299855	PS141253
7	732.1128669815878	25.03318077232356	-8.604199765282765	0.07939459578491094	telomere	277.68104177479165	PS141253
8	543.2082933829342	24.803530943119945	-5.4148433904381035	0.1501427893876794	telomere	306.9939495130408	PS141253
9	353.48444095886316	74.14607368523784	0.8358104840086071	0.3583665049397206	telomere	269.134036348123	PS141253
10	180.9813526305956	87.11993082661357	-1.1488143771912855	0.3944473316051252	telomere	222.04425427694423	PS141253
11	-8.139410298049853	295.05764561494937	0.8618655210842677	0.6616134164869731	telomere	195.81066146137402	PS141253
12	-180.9813526305956	918.6166345758285	0.9672266626696895	0.9366688159063863	telomere	176.22928466093367	PS141253
13	-370.71586154358164	647.2509996085288	0.959905971278616	0.7758465185153305	telomere	184.53282278376628	PS141253
14	-542.3810929595537	175.1867752741626	0.7234124384215586	0.22858971128370237	telomere	399.8945210799137	PS141253
15	-732.1128669815878	16.06421797526679	-23.54651564515879	0.040912173568757974	telomere	359.61487687427655	PS141253
16	676.2257389363407	32.60635622659806	-11.992320483501851	0.08932240352190196	telomere	255.13616883833254	PS141253
17	470.6030705382191	54.98647493620106	0.6159296637571996	0.29741417936292136	telomere	291.14304468690204	PS141253
18	291.201390793382	270.86146072313835	0.8795352440953097	0.5753205027131548	telomere	221.97908425807213	PS141253
19	-291.201390793382	1079.2229927234544	0.9753362310524111	0.8875287704517352	telomere	184.70514025710997	PS141253
20	-480.2824689700843	99.17822134218339	0.8098889644220565	0.6167732675699151	telomere	194.33884287288413	PS141253
21	-676.2257389363407	264.2704693347232	0.962355130827103	0.18954177535431554	telomere	389.36232824028787	PS141253
22	798.7314943083188	33.543060781952555	-2.733444662696334	0.07074532565046199	telomere	307.6144429429519	PS141253
23	618.3623533172116	24.292796118166294	0.7172820736637031	0.03891260795093127	telomere	664.3369494374754	PS141253
24	439.0136672132201	1032.0102858966184	0.9827258561778268	0.9883873634573549	telomere	158.43117388929033	PS141253
25	-90.19977827023745	422.46171176150983	0.5069498767677993	0.265692096535078	telomere	332.0065907218934	PS141253
26	-270.5993348107123	21.649854758695287	0.5137588307729257	0.10535352174858431	telomere	543.037018062442	PS141253
27	-450.0011111097394	16.96414416356777	0.15491358395610544	0.023674885873090717	telomere	530.4099752621216	PS141253
28	-630.4006662433028	27.163314760836244	-0.2299955163615952	0.03965489110942617	telomere	368.62470217133375	PS141253
29	-798.7314943083188	21.05261539115495	-2.58439899774565	0.035871261329192085	telomere	354.8874761873882	PS141253
30	790.5694150420949	33.38849318551938	-4.352864861257743	0.05559096168623692	telomere	332.16179075371736	PS141253
31	623.7218931543129	41.46226104537568	0.8988789029977609	0.049947872205134136	telomere	574.3207324457626	PS141253
32	443.36553767743385	365.6656347721617	0.9676657864499005	0.5138744275247418	telomere	186.1785732379642	PS141253
33	275.0654467576762	409.17708767143426	0.8389615491095386	0.7979864417057504	telomere	157.6364259668785	PS141253
34	96.18731725128839	87.67246590137513	0.2578296642587926	0.388633899264747	telomere	231.6516307242391	PS141253
35	-84.2140130857092	48.12900001411849	0.4150070508581819	0.11697693763230692	telomere	487.13220015972684	PS141253
36	-252.07141845120006	48.75439755227584	0.8794178439737464	0.04714801625343058	telomere	527.727146192821	PS141253
37	-431.3757063164313	26.39547267546496	-0.1983505634402689	0.0335642609357253	telomere	428.7731710480426	PS141253
38	-611.7360541933098	26.489152595588013	-1.0181494294520168	0.04725089687009458	telomere	344.1495916579248	PS141253
39	-790.5694150420949	23.910269199144242	-5.512379766505797	0.046570992564537124	telomere	318.4398160622603	PS141253
40	755.1412119597235	31.53481331553888	0.73968948025781	0.03112071490039036	telomere	456.27043679214614	PS141253
41	587.7918424068166	108.30501167228644	0.9031903671238013	0.07293755735151494	telomere	546.9696438510764	PS141253
42	419.4082140349662	800.235612823154	0.9211656441217737	0.5846154454455981	telomere	236.75223934018027	PS141253
43	251.08414924084715	99.44239616879648	0.46680830419116115	0.23689480551134345	telomere	319.5007445593528	PS141253
44	84.25111275229544	274.9776360226469	0.9809689836914333	0.17191415787163414	telomere	653.9541331854892	PS141253
45	-84.17986695166488	75.9971892408877	0.8731799427172182	0.07278348919587474	telomere	520.5004349552502	PS141253
46	-251.06025173252735	33.66376430771249	0.5554667585756061	0.05131773179277604	telomere	383.9284039890996	PS141253
47	-419.36529422449826	22.06350727922344	0.2285147050147751	0.038497953628199966	telomere	393.4287131297924	PS141253
48	-587.7408017144973	28.856704132508114	-0.4805421525729967	0.04431120762113427	telomere	361.77137283051286	PS141253
49	-755.1412119597235	60.4414369841937	-3.4157944768789354	0.1421057473789658	telomere	186.89570933265986	PS141253
0	-587.0521697430306	42.86579537299069	-9.366114708588718	0.22535448402895175	centromere	176.42400718878764	PS141253
