curve_n	YM	YM_Hertz	viscoel_index	contact_pt
0	143.30578268117898	0.05084568623480479	0.8151362796367759	461.2228654126541
1	143.77296223157222	0.052547199917646614	0.7553553935450195	466.335159582049
2	136.3327136368492	0.06750094789516632	0.7766007921694279	469.9763219491776
3	136.61856113472533	0.07404694540170306	0.7726451701733341	473.5120544473608
4	71.12402577597915	0.03874066379945248	0.7496618781990048	493.17014698691116
5	127.52952515766452	0.03670576576555419	0.7377483493392377	454.1399967453307
6	78.41197586346333	0.03823247079810206	0.7568675941176477	477.8930861359352
7	77.96544257046797	0.038045054075244	0.7373038257947866	482.40817798984153
8	88.2195594214751	0.060680079683268294	0.9648302651733605	467.253537867342
9	90.6837080755339	0.057368553207753276	0.715989295420707	466.6979939921269
10	99.92032517745373	0.018198559320184975	0.7546610173225495	481.2309935122044
11	63.696963293760746	0.04974314067030394	0.6951964671793662	477.8707438537282
12	28.77387672356565	0.04855743327726781	0.7472678577137604	532.723490329664
13	83.83028788926032	0.062155333314437	0.7237347848052915	472.0637364590997
14	46.3531936060413	0.06627815335405675	0.730221567955446	491.34339890816153
15	124.90360550341083	0.07222065075572688	0.7280432315454304	416.27329553979655
16	42.838695053652096	0.03572494417757234	0.7703555453804184	484.4734795113646
17	41.033242535508414	0.04755263834242795	0.7498266140344392	474.21771275593545
18	65.76168012127671	0.030852901560352256	0.7521133089289403	475.4547059465993
19	26.434441325847775	0.03196280464014579	0.7267748138326746	465.2392024523225
20	29.20435678222087	0.04833688259348973	0.6708561685089998	461.2319437850764
21	97.81916092524243	0.08373000153160019	0.7107734676730488	468.90131192253716
22	23.16404570618371	0.03391998264206755	0.7207212123258686	494.3610604340402
23	54.94756378972673	0.035295504761705496	0.7403083316636097	502.20125434204726
24	75.51438878622515	0.05935711135287487	0.7367656697792611	458.166571570643
25	55.05358934542185	0.026095409730621605	0.7175855612138777	493.1929543288249
26	65.27842035524168	0.04865505685535846	0.7234206689947296	486.2078323371455
27	39.179478383192425	0.042537844007417475	0.7239297022429438	513.2990648699183
28	74.89314292312307	0.07475996735545717	0.7195104433118362	470.4625072071461
29	35.51288335590605	0.04504956727263184	0.7196296735335621	452.76312690695175
