curve_n	YM	YM_Hertz	viscoel_index	contact_pt
0	98.54155637932456	0.05075284691705949	0.6279933386357779	455.6087967769712
1	69.12473530025248	0.08004387733627025	0.5780315934206295	436.7352581232767
2	71.45050619631829	0.05910336569343558	0.608820766377638	452.7680132699201
3	62.175274782771005	0.0645661331515884	0.566602406491008	450.8297830739435
4	62.95357385433227	0.05628688782838614	0.5572153336627874	464.31523697845506
5	62.716759774200575	0.07034560000770256	0.5602229387505484	416.9082000520034
6	55.42845648340022	0.06504756694169977	0.5530828898674727	411.9269399237994
7	45.80842282729169	0.06742449075565568	0.5156695642284321	389.4629757156698
8	93.67192641110502	0.059217696797517656	0.5421802258395731	413.6419765915149
9	93.30764404522834	0.07631006945935537	0.4876887363562341	410.6589911382132
10	49.26742987308884	0.049887101567589895	0.535153863570997	464.3703950944123
11	55.6460684318989	0.06610040452576232	0.5384475432594541	422.54531179550077
12	99.8648721500818	0.08025508262203672	0.558008951932931	429.3707759216933
13	45.7808914058731	0.04689486528731468	0.4716129326413291	409.38010374137684
14	83.87257578699084	0.054128114028217746	0.5248320855698156	424.3627522080209
15	85.2875202429609	0.04880484487130958	0.48849324762432667	411.7340011648539
16	82.51992030909842	0.06077893754369749	0.5058276436412577	420.5712396416328
17	45.33528594491941	0.0476144519435174	0.5198050954793596	429.1091793711071
18	81.71877150958906	0.046423010419649045	0.5324550924037865	420.97364295934835
19	78.93077400942275	0.07576996654824632	0.5379637714138592	439.4876026209148
20	77.39250931413368	0.08178876897055208	0.46398621864127587	439.01351538741756
21	75.19572454488238	0.05766938633110229	0.5411253905323822	451.08393219712747
22	77.29439075400985	0.07001452645791992	0.540673721441195	454.5565940922447
23	69.52301570622558	0.0540001644280549	0.51883142634806	427.9715638011071
24	37.57831559631677	0.021139447705481564	0.5171298264169106	446.0882422738257
25	67.37268238415712	0.06149869231210661	0.5226957403800224	454.3303744398422
26	79.4551643289805	0.04699296876509011	0.5083283232814901	439.9533058355038
27	73.55753957632257	0.048340756252984715	0.5166790448721579	439.3791466278285
28	61.999460124894846	0.06123309777215975	0.5279749301607165	441.0832446842942
29	68.92648700682895	0.06735893314278935	0.5127341779144576	443.12061673503536
30	71.29721546455939	0.04735051736005496	0.5219840921086202	443.656379392478
31	81.68235015392399	0.07716231774800976	0.5150875403268532	432.4610514827681
32	63.75261348785671	0.04461404291249514	0.5083758585174498	458.2231248657209
33	75.32961923155753	0.07064717413782427	0.5371274739758066	459.3488717050568
34	76.66723839835842	0.04734894432111441	0.5236616730463548	473.89141465726345
