	Filename	Contact Point [nm]	Oscillation Frequency [Hz]	Force Amplitude [N]	Phase Delta [deg]	Indentation Amplitude [m]	Force Phase [deg]	Young Modulus [Pa]	Storage Modulus E' [Pa]	Loss Modulus E'' [Pa]	Shear Storage G' [Pa]	Shear Loss G'' [Pa]	Loss Tan
1313	Chromosome3	9279.17	2.0	6.43174e-11	7.58618	9.53504e-09	7.0531	3024.49	2998.02	399.285	999.339	133.095	0.133183
1316	Chromosome3	9284.91	2.0	8.17918e-11	10.1323	9.41232e-09	9.3525	3864.37	3804.1	679.828	1268.03	226.609	0.178709
1317	Chromosome3	9006.48	2.0	1.34019e-10	8.76087	9.03264e-09	7.72772	6636.66	6559.23	1010.84	2186.41	336.945	0.154109
1318	Chromosome3	8061.66	2.0	1.02734e-10	13.5964	9.27013e-09	12.4072	5832.88	5669.42	1371.2	1889.81	457.067	0.241859
1331	Chromosome2	1569.65	2.0	6.92678e-11	15.7285	9.51301e-09	14.7541	5103.54	4912.45	1383.47	1637.48	461.155	0.281624
1332	Chromosome2	1656.57	2.0	6.01423e-11	16.9619	9.57986e-09	16.04	4710.23	4505.33	1374.14	1501.78	458.048	0.305004
1337	Chromosome2	1892.2099999999998	2.0	6.0439e-11	15.9923	9.57578e-09	15.1093	5114.39	4916.46	1409.06	1638.82	469.686	0.286601
1338	Chromosome2	1737.6999999999998	2.0	7.23999e-11	15.9976	9.49157e-09	14.9751	5575.1	5359.19	1536.48	1786.4	512.161	0.286701
1342	Chromosome2	2127.08	2.0	4.58407e-11	16.8448	9.67989e-09	16.1025	3133.61	2999.15	908.055	999.718	302.685	0.302771
1356	Chromosome2	1456.1200000000001	20.0	1.00152e-10	23.144	9.32414e-09	19.5801	6821.6	6272.6	2681.18	2090.87	893.728	0.427444
1357	Chromosome2	1549.3600000000001	20.0	8.1445e-11	22.8655	9.4512e-09	19.6318	5880.2	5418.13	2284.87	1806.04	761.623	0.421708
1362	Chromosome2	1717.9	20.0	8.00374e-11	24.2038	9.46594e-09	20.9226	6401.63	5838.88	2624.56	1946.29	874.853	0.449497
1363	Chromosome2	1575.75	20.0	1.03308e-10	23.622	9.30619e-09	19.9805	7292.92	6681.84	2922.28	2227.28	974.094	0.437347
1367	Chromosome2	1919.1700000000003	20.0	7.30274e-11	20.9323	9.50143e-09	17.9399	4817.64	4499.69	1721.17	1499.9	573.724	0.382509
1386	Chromosome4	8570.08	2.0	6.76005e-11	10.7297	9.51533e-09	10.0245	3354.64	3295.99	624.552	1098.66	208.184	0.189489
1387	Chromosome4	8946.5	2.0	6.87286e-11	11.0533	9.50776e-09	10.3232	3262.82	3202.3	625.555	1067.43	208.518	0.195346
1388	Chromosome4	9234.32	2.0	6.72495e-11	10.5631	9.51761e-09	9.86786	3123.25	3070.32	572.549	1023.44	190.85	0.186479
1389	Chromosome4	7960.69	2.0	7.84478e-11	12.9147	9.44166e-09	12.0014	4507.51	4393.48	1007.43	1464.49	335.81	0.229301
1391	Chromosome4	8888.0	2.0	8.37598e-11	11.4896	9.40067e-09	10.612	4009.77	3929.41	798.705	1309.8	266.235	0.203263
1392	Chromosome4	8935.109999999999	2.0	6.78145e-11	11.302	9.51469e-09	10.5668	3215.99	3153.62	630.271	1051.21	210.09	0.199856
1393	Chromosome4	8924.25	2.0	7.61785e-11	12.5714	9.45712e-09	11.6979	3605.89	3519.44	784.846	1173.15	261.615	0.223003
1406	Chromosome18	3725.73	20.0	1.12796e-10	10.806	9.1913e-09	8.00816	5681.33	5580.59	1065.16	1860.2	355.053	0.190868
1407	Chromosome18	4034.62	20.0	1.51589e-10	13.5895	8.92189e-09	10.1875	7827.5	7608.37	1839.17	2536.12	613.058	0.241731
1408	Chromosome18	5143.3	20.0	1.2556e-10	14.9077	9.11302e-09	11.6563	5997.08	5795.23	1542.82	1931.74	514.274	0.266223
1409	Chromosome18	4028.6699999999996	20.0	1.24247e-10	13.4674	9.11747e-09	10.3345	6118.59	5950.35	1424.97	1983.45	474.989	0.239476
1410	Chromosome18	4005.9500000000003	20.0	1.23457e-10	17.0106	9.13619e-09	13.5886	6284.66	6009.71	1838.57	2003.24	612.857	0.305934
1411	Chromosome18	3698.8	20.0	1.88373e-10	14.9085	8.66668e-09	10.9749	11936.4	11534.6	3070.94	3844.86	1023.65	0.266238
1412	Chromosome18	4022.7599999999998	20.0	2.1254e-10	13.9237	8.4888e-09	9.88542	11993.5	11641.1	2886.0	3880.37	962.0	0.247914
1413	Chromosome18	4587.72	20.0	1.37479e-10	13.4169	9.02278e-09	10.1741	6716.58	6533.26	1558.48	2177.75	519.493	0.238545
1416	Chromosome18	3115.89	20.0	1.54387e-10	15.797	8.91227e-09	12.1231	10503.5	10106.8	2859.38	3368.95	953.127	0.282915
1417	Chromosome18	3965.43	20.0	2.23616e-10	14.8264	8.41483e-09	10.5231	12647.0	12225.9	3236.24	4075.3	1078.75	0.264704
1418	Chromosome18	4020.67	20.0	1.6704e-10	14.7832	8.81769e-09	11.0972	9088.14	8787.31	2318.95	2929.1	772.984	0.263898
1419	Chromosome18	3740.64	20.0	1.38263e-10	17.5881	9.03481e-09	13.9171	6885.96	6564.06	2080.74	2188.02	693.581	0.31699
1422	Chromosome18	3397.56	20.0	1.41082e-10	16.3896	9.00903e-09	12.809	7633.6	7323.41	2153.95	2441.14	717.983	0.294118
