	t1	t1_std	t2	t2_std	Delta Force (pN)
0	0.020082088554869364	0.0005964648596589533	0.23109205745989403	0.004974910039828407	114.37843289523671
1	0.013888759943005785	0.0003073631505808075	0.2260000074382724	0.005724362610129488	111.98468885933933
2	0.020140201362640657	0.0006874634309064442	0.2558973303503754	0.011706518104886196	88.8980211402035
3	0.024044360911657073	0.0008717331889632885	0.3694304720850967	0.022112176979688904	85.27932119422073
4	0.01810737526263917	0.00034426654197249816	0.25888672634940246	0.004609276575300993	91.19691073540669
5	0.02625423958261115	0.0009837477322549855	0.27870457731052545	0.014474739051251646	97.14810021857319
6	0.010299399918707229	0.000458265329240071	0.16604526641270004	0.002539370580693628	102.61260352617536
7	0.006469035897131596	0.000254442031737998	0.07991797483161563	0.0009613709320453256	111.01760618190873
8	0.009507362718533538	0.0004028188445863348	0.14435099174583865	0.002922401771177306	95.47599372069999
9	0.01794471922019836	0.0005313639918154879	0.16448872109303575	0.0047444826835437255	93.09779171853984
10	0.015491841655741424	0.0005169067967903284	0.14793771009489926	0.004249599238585512	99.40769158994101
11	0.014533441905169664	0.0005563758432887256	0.1777658647561721	0.004680195254925101	78.86249938155908
12	0.009971425781345083	0.00036151165421580784	0.1998361298392495	0.005255730188869963	107.34811965154509
13	0.009503207293768998	0.0002717236280201508	0.14328925439290596	0.002323830145610846	123.86259191720318
14	0.012497646695938175	0.00026574203673544316	0.2243351219081636	0.008392012530878722	124.03185080579173
15	0.009997676121258495	0.0002571431730549877	0.11130110750561892	0.002077529841329708	118.95246330948848
16	0.006665976996545218	0.00016460765614387338	0.1717580734865338	0.0023788787711986376	115.63256311104114
17	0.009311614940196422	0.0003577424278470248	0.18906249389782892	0.0034173495905235034	115.1470622864605
18	0.010427478984451037	0.00020985352332375415	0.17027860075879717	0.002341660174844515	108.8279492025473
