,Unnamed: 0,t1,t1_std,t2,t2_std,Delta Force (pN),F0 (pN),Force_drop (pN)
0,0,0.0200820885548693,0.0005964648596589,0.231092057459894,0.0049749100398284,114.37843289523671,151.98107851875233,37.60264562351561
1,1,0.0138887599430057,0.0003073631505808,0.2260000074382724,0.0057243626101294,111.98468885933931,153.67406711675446,41.68937825741514
2,2,0.0201402013626406,0.0006874634309064,0.2558973303503754,0.0117065181048861,88.8980211402035,116.61858495319792,27.720563812994428
3,3,0.024044360911657,0.0008717331889632,0.3694304720850967,0.0221121769796889,85.27932119422073,117.8226066109066,32.543285416685876
4,4,0.0181073752626391,0.0003442665419724,0.2588867263494024,0.0046092765753009,91.19691073540668,152.57802947063342,61.38111873522675
5,5,0.0262542395826111,0.0009837477322549,0.2787045773105254,0.0144747390512516,97.1481002185732,153.53960791968365,56.39150770111044
6,6,0.0102993999187072,0.00045826532924,0.1660452664127,0.0025393705806936,102.61260352617536,137.94207505668527,35.329471530509906
7,7,0.0064690358971315,0.0002544420317379,0.0799179748316156,0.0009613709320453,111.01760618190872,149.76050559078288,38.742899408874166
8,8,0.0095073627185335,0.0004028188445863,0.1443509917458386,0.0029224017711773,95.4759937207,148.40477064460586,52.92877692390586
9,9,0.0179447192201983,0.0005313639918154,0.1644887210930357,0.0047444826835437,93.09779171853984,146.93721595511238,53.83942423657254
10,10,0.0154918416557414,0.0005169067967903,0.1479377100948992,0.0042495992385855,99.407691589941,151.5300593553273,52.1223677653863
11,11,0.0145334419051696,0.0005563758432887,0.1777658647561721,0.0046801952549251,78.86249938155908,141.192573893499,62.33007451193993
12,12,0.009971425781345,0.0003615116542158,0.1998361298392495,0.0052557301888699,107.34811965154508,150.65972359577793,43.31160394423286
13,13,0.0095032072937689,0.0002717236280201,0.1432892543929059,0.0023238301456108,123.86259191720318,155.52118325184108,31.658591334637904
14,14,0.0124976466959381,0.0002657420367354,0.2243351219081636,0.0083920125308787,124.03185080579172,153.72525695507576,29.693406149284044
15,15,0.0099976761212584,0.0002571431730549,0.1113011075056189,0.0020775298413297,118.95246330948848,149.17954482373457,30.227081514246095
16,16,0.0066659769965452,0.0001646076561438,0.1717580734865338,0.0023788787711986,115.63256311104114,147.2017844400995,31.56922132905835
17,17,0.0093116149401964,0.000357742427847,0.1890624938978289,0.0034173495905235,115.1470622864605,147.26005667111997,32.11299438465947
18,18,0.010427478984451,0.0002098535233237,0.1702786007587971,0.0023416601748445,108.8279492025473,141.30196405827093,32.474014855723624
