	Time (s)	Force (pN)	s.e.m	Delta F	Chromosome
0	0.000244140625	151.98107851875233	2.609130909133166	35.905892192107885	Chromosome10_20Hz
1	0.000732421875	150.14702476274925	2.5578461904774774	35.905892192107885	Chromosome10_20Hz
2	0.001220703125	149.1214275122597	2.4780312430278246	35.905892192107885	Chromosome10_20Hz
3	0.001708984375	147.6882600872835	2.4081914039386803	35.905892192107885	Chromosome10_20Hz
4	0.002197265625	147.23308778710228	2.4165625463694593	35.905892192107885	Chromosome10_20Hz
5	0.002685546875	146.43956257855373	2.4043725751025553	35.905892192107885	Chromosome10_20Hz
6	0.003173828125	145.87655980217906	2.3508204041715497	35.905892192107885	Chromosome10_20Hz
7	0.003662109375	145.8677744063958	2.523783841090511	35.905892192107885	Chromosome10_20Hz
8	0.004150390625	145.10278515486576	2.426513616829396	35.905892192107885	Chromosome10_20Hz
9	0.004638671875	144.5128117999744	2.4395965061787073	35.905892192107885	Chromosome10_20Hz
10	0.005126953125	143.99458873000205	2.4888477874826065	35.905892192107885	Chromosome10_20Hz
11	0.005615234375	142.82545708794927	2.3409571609055706	35.905892192107885	Chromosome10_20Hz
12	0.006103515625	143.34920407831189	2.362403966240594	35.905892192107885	Chromosome10_20Hz
13	0.006591796875	142.78510648016254	2.468157110832942	35.905892192107885	Chromosome10_20Hz
14	0.007080078125	142.35840374620568	2.340659329297169	35.905892192107885	Chromosome10_20Hz
15	0.007568359375	142.18094653259115	2.4019330582775025	35.905892192107885	Chromosome10_20Hz
16	0.008056640625	141.7415239561787	2.450181765172457	35.905892192107885	Chromosome10_20Hz
17	0.008544921875	142.22380584290443	2.4466898137981348	35.905892192107885	Chromosome10_20Hz
18	0.009033203125	141.36877313736383	2.3457119924643495	35.905892192107885	Chromosome10_20Hz
19	0.009521484375	141.25648747782546	2.3786233007829836	35.905892192107885	Chromosome10_20Hz
20	0.010009765625	141.561976464149	2.4542487190833913	35.905892192107885	Chromosome10_20Hz
21	0.010498046875	141.03303164935548	2.4050626884288295	35.905892192107885	Chromosome10_20Hz
22	0.010986328125	140.7003323850111	2.5199877075488883	35.905892192107885	Chromosome10_20Hz
23	0.011474609375	139.91199759548306	2.456598924172797	35.905892192107885	Chromosome10_20Hz
24	0.011962890625	140.4983770420539	2.4515794592026587	35.905892192107885	Chromosome10_20Hz
25	0.012451171875	140.38118369543403	2.5465623495159573	35.905892192107885	Chromosome10_20Hz
26	0.012939453125	139.17635944876272	2.449353399919478	35.905892192107885	Chromosome10_20Hz
27	0.013427734375	139.47681765608297	2.505673395362005	35.905892192107885	Chromosome10_20Hz
28	0.013916015625	139.43936274799339	2.4507478486754404	35.905892192107885	Chromosome10_20Hz
29	0.014404296875	139.12607859084406	2.552847630067835	35.905892192107885	Chromosome10_20Hz
30	0.014892578125	138.56361998318695	2.4607709663363577	35.905892192107885	Chromosome10_20Hz
31	0.015380859375	138.88444469030847	2.4779076260653685	35.905892192107885	Chromosome10_20Hz
32	0.015869140625	139.36851293887852	2.581898561028675	35.905892192107885	Chromosome10_20Hz
33	0.016357421875	137.91339823529293	2.461902138883372	35.905892192107885	Chromosome10_20Hz
34	0.016845703125	138.29499457740272	2.542094363832143	35.905892192107885	Chromosome10_20Hz
35	0.017333984375	137.96990019062574	2.468955688335413	35.905892192107885	Chromosome10_20Hz
36	0.017822265625	137.8493093816977	2.3564313103765757	35.905892192107885	Chromosome10_20Hz
37	0.018310546875	138.65057401785808	2.5315657771502176	35.905892192107885	Chromosome10_20Hz
38	0.018798828125	137.56960828194744	2.450352306601151	35.905892192107885	Chromosome10_20Hz
39	0.019287109375	137.71846896891776	2.5257920180755775	35.905892192107885	Chromosome10_20Hz
40	0.019775390625	137.66220534990413	2.4811930771800923	35.905892192107885	Chromosome10_20Hz
41	0.020263671875	137.57384115560774	2.6177549440618813	35.905892192107885	Chromosome10_20Hz
42	0.020751953125	138.0358924189188	2.703238233245413	35.905892192107885	Chromosome10_20Hz
43	0.021240234375	137.51548416338053	2.5008216522963136	35.905892192107885	Chromosome10_20Hz
44	0.021728515625	138.09582654251318	2.656209909177498	35.905892192107885	Chromosome10_20Hz
45	0.022216796875	136.91194520184402	2.70410895493091	35.905892192107885	Chromosome10_20Hz
46	0.022705078125	137.17002718214312	2.688588334097981	35.905892192107885	Chromosome10_20Hz
47	0.023193359375	137.94925140099951	2.7869563758015663	35.905892192107885	Chromosome10_20Hz
48	0.023681640625	137.2285753518568	2.652676335936323	35.905892192107885	Chromosome10_20Hz
49	0.024169921875	137.00659073159468	2.618785843445702	35.905892192107885	Chromosome10_20Hz
50	0.024658203125	136.6995367720405	2.632526088201298	35.905892192107885	Chromosome10_20Hz
51	0.025146484375	136.89093925774603	2.7189103725056856	35.905892192107885	Chromosome10_20Hz
52	0.025634765625	136.27300697836532	2.7080434136522737	35.905892192107885	Chromosome10_20Hz
53	0.026123046875	136.0999239675377	2.7680060726151803	35.905892192107885	Chromosome10_20Hz
54	0.026611328125	136.38852482324046	2.835474726972782	35.905892192107885	Chromosome10_20Hz
55	0.027099609375	135.82368631561852	2.6681788239973945	35.905892192107885	Chromosome10_20Hz
56	0.027587890625	135.88666380500482	2.668901280963928	35.905892192107885	Chromosome10_20Hz
57	0.028076171875	136.01372812163024	2.8722154232351245	35.905892192107885	Chromosome10_20Hz
58	0.028564453125	135.41889722275997	2.6442890962221104	35.905892192107885	Chromosome10_20Hz
59	0.029052734375	135.98383583237282	2.714530024823845	35.905892192107885	Chromosome10_20Hz
