,tel_dist_ym,tel_ym,tel_dist_ym_err,tel_ym_err,cent_dist_ym,cent_ym,cent_dist_ym_err,cent_ym_err,arm_dist_ym,arm_ym,arm_dist_ym_err,arm_ym_err,tel_dist_eta,tel_eta,tel_dist_eta_err,tel_eta_err,cent_dist_eta,cent_eta,cent_dist_eta_err,cent_eta_err,arm_dist_eta,arm_eta,arm_dist_eta_err,arm_eta_err
1,-742.1431394699076,147.0666730927687,6.670960616954656,90.97028893303163,-751.5727425236821,28.06012733034045,15.958019879577739,3.9201578861023902,-783.0535410553086,261.56764133223487,13.409270593893515,135.5786907140109,-925.2314718045942,0.3562005273181558,7.875483402325368,0.045376057209868634,-750.1219973463891,0.3413258101207841,10.365463937099468,0.06267422287347416,-799.6047691776093,0.3543076028773919,8.855483706185712,0.053768031759946995
2,-625.9875442060403,190.9413638219177,7.395828120293326,34.5861186179582,-652.294281531553,50.48575022008681,9.564126904023022,13.126459774641145,-655.4557826693447,229.53077505403803,7.059165245553779,71.37507495559882,-770.5607917964994,0.26913715531266774,7.056440897386236,0.035668482020561915,-634.8799243962123,0.36470619486563327,7.0091518484805535,0.05009397856826738,-665.6207315881733,0.5094753329350911,6.040792520887232,0.040775506616859684
3,-489.7563433349852,285.2883513752891,5.745464786753399,29.01809537788045,-520.3272168007271,309.7319201392485,6.366471534125051,66.299906064614,-524.0933351302552,283.79082636555495,7.345052208445274,47.62672173687041,-620.2505389483784,0.5083417053675581,5.929228648310834,0.033281749562223684,-505.0205182604535,0.5584769286493932,5.635053808308537,0.032767305329593724,-532.043517001329,0.4896232474915222,6.1846123599677805,0.03951074908171507
4,-350.7614803795598,384.4547956734893,4.747127886305382,33.406372381297736,-412.4800400807826,518.1034908037444,6.255640769358985,72.75680305955485,-388.3719879637181,472.19939661443306,7.174160685600324,50.020714582920256,-477.8548632005488,0.5989000939967485,5.5924148009139145,0.02420262518685052,-384.3081966895327,0.5683335174443018,6.983741821567149,0.037949900450457076,-395.75016966749206,0.5323210945386253,6.594329260129568,0.02385952514875342
5,-220.98627193009324,466.97861672897585,5.99755390639389,53.47644281008305,-283.12307581726435,572.7007678318132,6.010486692433793,77.62814641372603,-266.40236453832944,474.2501118104373,8.229531306190509,67.57906435709432,-324.02126758445064,0.5544243433704173,5.118376913363076,0.0191865383770088,-264.3398659799291,0.5326461485687858,6.705411924656284,0.026750638348020706,-274.7852521761537,0.5124253752633452,7.557296994995559,0.029231096023243926
6,-98.5725171399228,402.616507688802,3.423840527394582,53.13081361309621,-165.88628886460998,463.4676131300757,8.693646307226034,59.740452614844095,-118.11996189352224,399.3244984369139,6.20836928357693,44.09700041591408,-147.51725481159212,0.569387281633358,5.782950521945612,0.017969352449369494,-111.9330546084483,0.5365432911765234,7.181857754190144,0.029740848284086806,-121.38546044542262,0.4391253319662987,5.947212637837007,0.027710614366058043
7,59.5851926130339,468.15941998935926,7.1375616156517845,43.55751236313267,-59.69737592318893,514.8395149428949,8.952097101812937,79.21808766299638,18.82488364468491,449.85694895338224,11.237462231063974,71.90409954702798,-5.693359740179663,0.5878675233608781,6.756248872076387,0.026947205557840047,-0.8810612323081071,0.4348722439518877,1.2520686371489222,0.06244360541014661,5.440146091318321,0.43799605344636827,5.917316057284236,0.0366178241267466
8,209.3159694888299,420.8998249171971,5.190105410372846,32.12660610782994,88.91306740671651,499.1409858855647,4.198730355008808,73.16955422161062,130.0976544398622,434.0016612099412,6.18356849966676,57.85732550445065,151.8430877971366,0.5809406510247412,5.851440672646608,0.019233148921993605,108.28023010347925,0.45351136183313207,7.666880419367979,0.02542633097238306,129.2187550147703,0.48091209684920716,6.637580296144574,0.031783538656260046
9,331.3014536977563,357.622494015025,5.024633661668157,34.97519830885311,218.46032175637546,490.6503873996424,9.919487942402906,58.12013848294874,302.2648618882875,399.76687240186806,6.9283647007325575,61.472268078050334,319.90057876274176,0.5958876257336405,4.885566714031377,0.016802478414158696,263.825517296733,0.5393953443073553,6.528802673387708,0.02937028590739472,301.6564768377043,0.5689847031261865,6.318953676804456,0.02910075731120618
10,470.74620680321146,279.48144520075664,5.615238524573076,32.33799246453945,310.6179927483346,397.41542978561256,7.98111606005583,96.98273486463164,428.77825933119493,518.4879771817256,7.057677485095384,59.42185796330794,472.21228061189413,0.6110441752603178,5.546497276637204,0.020074306548598625,390.5253736539146,0.5991479170427397,6.1276741866699025,0.03064015334827602,430.5574415959328,0.6232866652675099,6.025609578639507,0.03342293608035657
11,600.8344379690915,194.76780732313355,5.90514799369916,29.567959834699046,451.53780847062734,337.59111498723433,7.110654959055362,45.85979397629427,542.9097752963607,286.9029605318274,6.871986643395599,63.51332901467544,619.3117077157306,0.48045287682813564,6.019782979365319,0.03162643438336425,504.8984328678316,0.5625199338291983,6.044388605517146,0.028178030349114414,542.5990483661319,0.57199313731833,5.667975520207414,0.031152147268819864
12,734.5793777363464,147.6825583403866,8.042159648679434,46.08239587601467,566.9945448695875,229.0676653195132,9.564204425614946,43.63483925546533,665.8335360996566,218.50812051768008,7.761407296117746,54.60277542627976,766.3445061219228,0.42450035356226223,7.312309834780283,0.03699148369511247,636.303815993476,0.4614831570772931,6.640614841281007,0.03729320701122619,683.1842967600803,0.5192814169734761,6.780635020361406,0.03279873254140569
13,870.6843421667654,221.53420137479637,12.050176978931217,119.58187031807243,675.9363523946736,259.7904006048202,12.324760585386027,96.12876562019079,822.1985706457697,311.5063565168583,20.95567004448516,127.91366391347255,928.2120602112595,0.3074236312298589,7.689293007610692,0.030328085807591776,745.2768720177627,0.38963134712915426,8.68129659556859,0.05755832362235017,811.1984758858397,0.44519350773022787,10.396249721220077,0.04675970220329442
14,994.809173150516,26.188724660415083,32.05962682038186,3.8947807717233918,839.1245859438534,89.29403247832946,15.827383482503711,44.88532450252384,974.7164417803593,50.727495424045436,24.55121982409438,18.54148838880749,1105.0497947405252,0.2201400578703976,18.73161931382434,0.038635274961020274,879.6491496638192,0.3415239457633356,10.214269559846409,0.0669219533528725,961.2476312990594,0.2810092845730394,10.709365012217134,0.04103837374424335
