	Ex_separation	Ex_force	Rt_separation	Rt_force	fit_x	fit_y	contact_pt(x,y)
0	972.7229456807482	-3.3869968304779787	972.6108779312367	-1.027856381815365	0.0	0.0	421.27322999159253
1	972.5277639806507	-2.525316272311239	972.377617062389	-0.8508872067181619	-0.17886205634772523	0.054137950021247085	9.053099308376117
2	972.283623349303	-1.6734729821495948	972.0953972622914	-0.9821182993760675	-0.44476221269542293	0.21272652480121984	
3	972.0884416492053	-1.1000607766719583	971.8893357996938	-1.3446365187483473	-0.6943427252931542	0.4155363848858169	
4	971.7735825616077	-0.15786138445602882	971.6397552870961	-1.562313725794641	-0.8949643066408726	0.6086622940704457	
5	971.54032169276	0.7211392899826254	971.3792950119985	-1.8041509644205755	-1.1391049379885771	0.8749135495992176	
6	971.3016209426623	1.5031479536042542	971.1351543806508	-1.8355720724807507	-1.426764619336268	1.227784933338175	
7	971.0248410238147	2.465152856432855	970.8529345805531	-1.8359106895619766	-1.7144243006839588	1.6188257969372948	
8	970.797020036217	3.2354517580731668	970.6359933554555	-2.000755510192788	-1.9259256445317305	1.9287452224527806	
9	970.5583192861194	4.178477006551583	970.3918527241078	-1.7733671655035868	-2.202705563379368	2.361079175500198	
10	970.2978590110217	4.884457875961229	970.1531519740101	-1.473911663360697	-2.4468461947270725	2.7662123027030043	
11	970.0863576671741	5.837877335937793	969.9198911051625	-1.8804855804128857	-2.6637874198247573	3.143973826790724	
12	969.8150176295763	6.580138784305263	969.6811903550648	-1.9077872213412446	-2.924247694922542	3.618617859173224	
13	969.6035162857287	7.055853500378771	969.4261699612172	-2.024052447267185	-3.1520686825201665	4.051911718887447	
14	969.3539357731311	7.410674383796014	969.1548299236196	-1.797619934544544	-3.3363706201179184	4.414380468859899	
15	969.1315546667835	8.155491533714724	968.9596482235219	-2.077652250170985	-3.5641916077156566	4.876744302978621	
16	968.8602146291857	8.623880562243322	968.6883081859243	-2.1492810647023095	-3.770253070313288	5.308185938817027	
17	968.6704728103381	8.999827141188678	968.4550473170766	-2.3825847857221043	-4.019833582911019	5.847092307487633	
18	968.3936928914904	9.292402292719649	968.178267398229	-2.6026720618967327	-4.253094451758784	6.366501483355822	
19	968.0679540413928	9.357567911172879	968.0102851043813	-2.5418792629251303	-4.480915439356409	6.8880822847792205	
