	ALL_ym	ALL_err	ALL_dist	ALL_Area	ALL_E_bis	ALL_cp_x	chrm
0	126.8488151809655	-0.139156601151243	-446.9980425013067	312580.4935997259	415.7409057680079	162.06180068008632	PS150221
1	225.76993932062632	0.9439522483511096	-366.50136425394106	1469040.4811068731	222.65883950405015	386.3514469413226	PS150221
2	255.1551497083801	0.9704405785449696	-286.00568176174403	2972859.6732043624	235.78759475183213	500.5948728612733	PS150221
3	465.8587778302383	0.9662450972526346	-206.848374419525	2159399.802666346	394.47693198839414	358.5498889953425	PS150221
4	807.5760950022928	0.9779801855478044	-126.3576273914638	1503826.0093538433	673.9030540946146	250.41773385665772	PS150221
5	962.5900129030528	0.9658178541264684	-45.89389937671455	1326023.76642507	889.9041141734443	213.06310489695784	PS150221
6	444.1893065621368	0.885001816140283	45.5	1170035.8223131993	872.3552583591288	204.28069384697108	PS150221
7	1184.7937055877117	0.9571881234138588	125.92954379334502	1173147.8793541477	1214.8796546633482	179.1236022515874	PS150221
8	156.78585534804043	0.845620659714227	206.41281452468013	1685155.7256215494	414.5053630657656	318.3236960086666	PS150221
9	209.28650363141867	0.9535882938387475	286.00568176174403	1317804.320690459	413.855477962519	288.6861188434125	PS150221
10	91.5018141313407	0.7555568851704964	366.50136425394106	1345590.1207450298	270.14500453029507	345.26404455266504	PS150221
11	403.09220248838255	0.8969117588951929	446.9980425013067	772510.8008029504	823.6668079866265	177.04603790927024	PS150221
12	5.704620433136827	-5.931188955730056	-602.3176072472064	260747.18909368315	55.283447436075015	337.8118043649821	PS150221
13	32.32430417277077	-0.9910393897672912	-521.8414510174522	511870.9550009077	95.7098971413944	355.22740990693603	PS150221
14	7.818813044709291	0.5384300736409948	-441.37342466442175	2809096.349298452	99.5774172028428	690.8556684306786	PS150221
15	68.17038593081281	0.590621106113745	-361.829379680534	2420343.2655810495	172.8587055809978	522.0346103859533	PS150221
16	253.34480176167477	0.8255557959645917	-281.4045131123522	1738920.5267040418	411.6789734243543	323.23131825957967	PS150221
17	369.7431219571277	0.9344551471467984	-205.9623752047932	943791.6941779515	1036.3963961965435	174.97061443941936	PS150221
18	358.9459742277031	0.9232615240567918	-45.03887209955418	804438.1698990336	1169.6000441821438	156.38933448129671	PS150221
19	374.22828950065485	0.8751445870055126	46.351914739307155	978246.7679977948	1021.493019521654	178.52959574941508	PS150221
20	282.771765600855	0.96008909627938	125.90671149704453	888692.8938651506	1102.7357348188316	166.6238318900206	PS150221
21	216.493219079712	0.8827857948243607	205.9623752047932	822601.5362254563	1059.100761165091	164.1821386828003	PS150221
22	1003.9264846683952	0.9494814032943196	281.4045131123522	1009659.0312139482	1286.519012174231	164.86498388397536	PS150221
23	823.2465813458249	0.99231112978011	361.829379680534	1361427.656956949	790.7902415824381	225.73469848816265	PS150221
24	566.2470781954856	0.9908695063722344	442.2810192626403	1333794.9728804447	588.3094450233556	252.01031450200185	PS150221
25	135.67630970690848	0.0280842763365035	522.7470707713244	1077554.0218849457	292.7358752808094	305.92167986125617	PS150221
26	470.09188327575635	0.9839829702078222	602.3176072472064	847764.411633839	930.2858728694988	175.02033724972227	PS150221
27	242.37246645485897	0.3412616231651592	-581.1613373238106	860992.7087428217	133.8617030475308	382.4390804216391	PS150221
28	127.09529235387076	0.8777619613595543	-494.7671169348262	4687162.774484256	159.15661375293703	702.8443408573794	PS150221
29	267.82823283875956	0.9864321606189336	-407.4193171659881	1628493.4632604043	306.420692603335	354.33347716515664	PS150221
30	95.09501218360202	0.6011245311125559	-331.5516551006796	1206928.338323171	507.6640394934906	256.84259404696377	PS150221
31	455.996394786099	0.9904375306523866	-244.4964212417024	903063.3232374628	803.2551239461985	190.3578951761166	PS150221
32	469.9692432764	0.9862065862935468	5.522680508593631	689990.3463297375	1061.731616843212	152.88198746805722	PS150221
33	704.6860922325201	0.9755790121643596	168.34042889335882	888997.3805385721	852.1048456967205	184.75150832459977	PS150221
34	278.12510933600737	0.7683978353290943	255.7000195541643	967246.1906855478	517.012601821722	233.36696269911977	PS150221
35	120.57649653060092	0.962727795153684	331.5516551006796	1333816.7191523542	432.1830277527779	285.0994594355449	PS150221
36	415.51496583773	0.933051884240911	418.90631410853666	1178890.0812945252	716.2722472485614	221.70888097808736	PS150221
37	125.82651099274122	0.7093719636994384	505.304363725468	724248.096044375	331.48805763237357	248.3091963280898	PS150221
38	210.98950823106463	0.9035304654208955	581.1613373238106	740287.304709142	878.932379931302	169.5910578504413	PS150221
39	5.769735970680197	0.362252057339313	-833.4776541695644	235041.63301128385	34.62155689001238	390.79076763974786	PS150221
40	9.931076473290018	0.5486841781384609	-757.6681331559353	227101.69699295735	115.05266395488708	238.42648399385735	PS150221
41	11.930133710891104	0.4053226682304318	-666.6963326732794	223246.35726066664	137.89802598572692	220.2498122842304	PS150221
42	14.056616833857984	0.8633363374003395	-580.6694412486333	1256465.0659798272	43.214517035665494	699.2513539995672	PS150221
43	131.8177323366462	0.4548610203074276	-489.3107397145499	2327851.8446904854	215.32907605906937	470.7237143417043	PS150221
44	234.51714805058515	0.978509319169387	-397.96607895648594	1266174.389373304	517.6398642594716	259.78336519154936	PS150221
45	224.50762759360236	0.9779046683338324	-311.0771608459869	775904.0048619561	870.1710823358551	173.50274609281223	PS150221
46	1244.406729149304	0.9923380613952214	216.33307652783935	1005038.8579021982	1401.1665280064217	159.03849374218964	PS150221
47	652.9317145028757	0.992992888162708	307.58413483143113	1500760.3033428043	671.393591999325	250.58707735133555	PS150221
